"AANT_TON_VERVOERD_ID";"FREQUENTIE_ID";"NETWERK_WATERWEGEN_ID";"AANT_TON_VERVOERD";"JAAR";"MAAND";
"214";"289";"2";"2273279";"2009";"1"
"215";"290";"2";"2322355";"2009";"2"
"216";"291";"2";"2580105";"2009";"3"
"217";"292";"2";"2492618";"2009";"4"
"218";"293";"2";"2456149";"2009";"5"
"219";"294";"2";"2603527";"2009";"6"
"220";"295";"2";"2249470";"2009";"7"
"221";"296";"2";"2180610";"2009";"8"
"222";"297";"2";"2535139";"2009";"9"
"223";"298";"2";"2785174";"2009";"10"
"224";"299";"2";"2336697";"2009";"11"
"225";"300";"2";"2052589";"2009";"12"
"226";"301";"2";"2030433";"2010";"1"
"227";"302";"2";"2269687";"2010";"2"
"228";"303";"2";"2765327";"2010";"3"
"229";"304";"2";"2804614";"2010";"4"
"230";"305";"2";"2701299";"2010";"5"
"231";"306";"2";"3057499";"2010";"6"
"232";"307";"2";"2489286";"2010";"7"
"233";"308";"2";"2553052";"2010";"8"
"234";"309";"2";"2806585";"2010";"9"
"235";"310";"2";"2820183";"2010";"10"
"236";"311";"2";"2680420";"2010";"11"
"237";"312";"2";"2158535";"2010";"12"
"238";"313";"2";"2538309";"2011";"1"
"239";"314";"2";"2546478";"2011";"2"
"240";"315";"2";"3064969";"2011";"3"
"241";"316";"2";"2914971";"2011";"4"
"242";"317";"2";"3118628";"2011";"5"
"243";"318";"2";"2871160";"2011";"6"
"244";"319";"2";"2498411";"2011";"7"
"245";"320";"2";"2545733";"2011";"8"
"246";"321";"2";"2908152";"2011";"9"
"247";"322";"2";"2787560";"2011";"10"
"248";"322";"1";"3334217";"2011";"10"
"249";"323";"1";"3330414";"2011";"11"
"250";"324";"1";"3207658";"2011";"12"
"251";"325";"1";"3053696";"2012";"1"
"252";"326";"1";"2989512";"2012";"2"
"253";"327";"1";"3375397";"2012";"3"
"254";"328";"1";"3200447";"2012";"4"
"255";"329";"1";"3099119";"2012";"5"
"256";"323";"2";"2706426";"2011";"11"
"257";"324";"2";"2425815";"2011";"12"
"258";"325";"2";"2572361";"2012";"1"
"259";"326";"2";"2393251";"2012";"2"
"260";"327";"2";"3001025";"2012";"3"
"261";"328";"2";"2688638";"2012";"4"
"262";"329";"2";"2865421";"2012";"5"
"263";"330";"2";"2975503";"2012";"6"
