"IND_ID";"JAAR";"PROVINCIE_ID";"VOERTUIGTYPE_ID";"VOERTUIGKILOMETER";
"153";"32";"1";"3";"5275221"
"154";"32";"1";"4";"9599157"
"155";"32";"2";"1";"15095309"
"156";"32";"2";"2";"15887721"
"157";"32";"2";"3";"3218246"
"158";"32";"3";"1";"18813328"
"159";"32";"3";"2";"16347583"
"160";"32";"3";"3";"4582534"
"161";"32";"3";"4";"3030905"
"162";"32";"4";"1";"16009247"
"163";"32";"4";"2";"10969718"
"164";"32";"4";"3";"4187099"
"165";"32";"4";"4";"2877662"
"166";"32";"5";"1";"26122918"
"167";"32";"5";"2";"22458396"
"168";"32";"5";"3";"3133845"
"280";"35";"2";"2";"1000"
"281";"35";"2";"1";"1500"
"282";"35";"2";"4";"2500"
