"NETWERK_WATERWEGEN_ID";"NETWERK_WATERWEGEN_OMSCHR";"REEKS";
"2";"Waterwegen en Zeekanaal";"B"
"3";"Albertkanaal";"A"
"1";"De Scheepvaart";"B"
